dataset,AP,mAP30,mAP50,mAP75
$hallett,55.65290066879243,99.25235509872437,98.70264530181885,57.21898674964905
$cotter$,73.91113495454192,92.56824254989624,92.3418641090393,88.87113332748413
$royds$,66.99267192743719,90.23627638816833,88.72644901275635,79.13038730621338
$hallett_c$,73.66145245730877,99.36208128929138,99.35309290885925,86.65058016777039
$cotter_c$,58.36097192019224,79.53228950500488,78.6784291267395,69.97630596160889
$royds_c$,27.47584249882493,68.29159259796143,65.62740206718445,14.288198947906494
