name,n_annotations,n_images,box_length,size_ranges
$hallett$,4164,100,$23.8 \pm 1.67$,"([672, 448], [672, 448])"
$cotter$,6263,100,$22.6 \pm 1.83$,"([672, 448], [672, 448])"
$royds$,2783,152,$20.7 \pm 1.9$,"([406, 405], [557, 524])"
$hallett_c$,4249,100,$28.5 \pm 2.26$,"([672, 448], [672, 448])"
$cotter_c$,6196,100,$23.6 \pm 2.04$,"([672, 448], [672, 448])"
$royds_c$,2536,152,$19.1 \pm 2.26$,"([406, 405], [557, 524])"
