image_file,time,truth,category,lower,estimate,upper
[0961]_29-11-2014_1540.jpg,2014-11-29 02:40:20,,new,7,7,7
[0962]_29-11-2014_1550.jpg,2014-11-29 02:50:20,9,validate,9,9,9
[0963]_29-11-2014_1600.jpg,2014-11-29 03:00:20,9,validate,7,8,8
[0964]_29-11-2014_1610.jpg,2014-11-29 03:10:20,,new,7,7,7
[0965]_29-11-2014_1620.jpg,2014-11-29 03:20:20,,new,8,8,8
[0966]_29-11-2014_1630.jpg,2014-11-29 03:30:20,,new,8,8,8
[0967]_29-11-2014_1640.jpg,2014-11-29 03:40:20,,new,8,8,8
[0968]_29-11-2014_1650.jpg,2014-11-29 03:50:20,,new,8,8,8
[0969]_29-11-2014_1700.jpg,2014-11-29 04:00:20,,new,8,8,8
[0970]_29-11-2014_1710.jpg,2014-11-29 04:10:20,,new,8,8,8
[0971]_29-11-2014_1720.jpg,2014-11-29 04:20:20,8,train,8,8,8
[0972]_29-11-2014_1730.jpg,2014-11-29 04:30:20,,new,8,8,8
[0973]_29-11-2014_1740.jpg,2014-11-29 04:40:20,10,test,8,8,8
[0974]_29-11-2014_1750.jpg,2014-11-29 04:50:20,,new,6,6,6
[0975]_29-11-2014_1800.jpg,2014-11-29 05:00:20,,new,8,8,8
[0976]_29-11-2014_1810.jpg,2014-11-29 05:10:20,,new,8,8,8
[0977]_29-11-2014_1820.jpg,2014-11-29 05:20:20,,new,8,8,8
[0978]_29-11-2014_1830.jpg,2014-11-29 05:30:20,,new,6,6,6
[0979]_29-11-2014_1840.jpg,2014-11-29 05:40:20,,new,6,6,6
[0980]_29-11-2014_1850.jpg,2014-11-29 05:50:20,,new,7,7,7
[0981]_29-11-2014_1900.jpg,2014-11-29 06:00:20,,new,11,11,11
[0982]_29-11-2014_1910.jpg,2014-11-29 06:10:20,,new,6,6,6
[0983]_29-11-2014_1920.jpg,2014-11-29 06:20:20,,new,8,8,8
[0984]_29-11-2014_1930.jpg,2014-11-29 06:30:20,,new,8,8,8
[0985]_29-11-2014_1940.jpg,2014-11-29 06:40:20,,new,8,8,8
[0986]_29-11-2014_1950.jpg,2014-11-29 06:50:20,,new,9,9,9
[0987]_29-11-2014_2000.jpg,2014-11-29 07:00:20,,new,9,9,9
[0988]_29-11-2014_2010.jpg,2014-11-29 07:10:20,,new,9,9,9
[0989]_29-11-2014_2020.jpg,2014-11-29 07:20:20,,new,9,9,9
[0990]_29-11-2014_2030.jpg,2014-11-29 07:30:20,,new,9,9,9
